time,plastic,non metalic minerals,chemical,metal 1,metal 2,metal 3,total_demand,wind_output,pv_generation,,wind_output2,pv_generation2
2/2/2019 14:00,0.3716,968.213743296706,3.6497,287.8968,1.06E-234,367.3648,1627.4966432967,21.266238236253,6.65494589102157,,21266.238236253,6654.94589102157
2/2/2019 15:00,0.5111,969.483039120882,2.053,291.0956,6.61E-236,356.8688,1620.01153912088,23.3651137903062,4.04830064788557,,23365.1137903062,4048.30064788557
2/2/2019 16:00,1.0222,970.752334945058,2.7373,297.4933,4.13E-237,362.1168,1634.12193494505,33.8907967552906,0.955908981515665,,33890.7967552906,955.908981515665
2/2/2019 17:00,1.67269999999999,972.02163076923,3.1935,255.9083,2.58E-238,362.1168,1594.91293076923,61.6661745230071,0.06587030002304,,61666.1745230071,65.87030002304
2/2/2019 18:00,3.2524,973.290926593406,3.6497,255.9083,1.61E-239,293.8919,1529.9932265934,114.956088894853,0,,114956.088894853,-3.42
2/2/2019 19:00,0.8365,974.560222417582,2.7373,259.1072,1.01E-240,272.8996,1510.14082241758,140.002774395891,0,,140002.774395891,-3.42
2/2/2019 20:00,0.6041,975.829518241758,2.1671,262.306,6.31E-242,272.8996,1513.80631824175,173.326628382949,0,,173326.628382949,-3.42
2/2/2019 21:00,0.6504,977.098814065934,4.106,262.306,3.94E-243,267.6515,1511.81271406593,180.998643011706,0,,180998.643011706,-3.42
2/2/2019 22:00,0.5111,978.36810989011,3.3075,249.5106,2.46E-244,272.8996,1504.59690989011,217.445627705199,0,,217445.627705199,-3.42
2/2/2019 23:00,0.3716,979.637405714286,2.7373,246.3117,1.54E-245,272.8996,1501.95760571428,250,0,,250000,-3.42
2/3/2019 0:00,0.5111,980.906701538462,2.0529,249.5106,9.63E-247,272.8996,1505.88090153846,250,0,,250000,-3.42
2/3/2019 1:00,0.3716,982.175997362638,4.1059,239.914,6.02E-248,272.8996,1499.46709736263,250,0,,250000,-3.42
2/3/2019 2:00,0.7434,983.445293186814,3.0794,233.5164,3.76E-249,272.8996,1493.68409318681,250,0,,250000,-3.42
2/3/2019 3:00,0.34846875,984.71458901099,2.6232,239.914,2.35E-250,272.8996,1500.49985776099,140.865620242025,0,,140865.620242025,-3.42
2/3/2019 4:00,0.336765625,985.983884835166,2.053,233.5164,1.47E-251,272.8996,1494.78965046016,112.842896574114,0,,112842.896574114,-3.42
2/3/2019 5:00,0.3716,987.253180659342,4.4481,230.3176,9.18E-253,272.8996,1495.29008065934,134.846479676539,0,,134846.479676539,-3.42
2/3/2019 6:00,0.3716,988.522476483518,2.9654,239.914,5.74E-254,272.8996,1504.67307648351,117.622102106296,0,,117622.102106296,-3.42
2/3/2019 7:00,0.3716,989.791772307694,1.71079999999999,243.1129,3.59E-255,267.6515,1502.63857230769,148.174507831427,0,,148174.507831427,-3.42
2/3/2019 8:00,0.6506,991.06106813187,2.3951,316.6866,2.24E-256,388.3571,1699.15046813187,163.714997023636,0.115363546874197,,163714.997023636,115.363546874197
2/3/2019 9:00,2.13729999999999,992.330363956046,3.5356,339.0786,1.40E-257,367.3649,1704.44676395604,241.7806697759,0.271523701534007,,241780.6697759,271.523701534007
2/3/2019 10:00,1.394,993.599659780222,3.1934,249.510599999999,8.75E-259,362.1168,1609.81445978022,250,0.43238373687715,,250000,432.38373687715
2/3/2019 11:00,6.7835,994.868955604398,1.5968,236.715199999999,5.47E-260,362.1168,1602.08125560439,250,4.292617068,,250000,4292.617068
2/3/2019 12:00,2.6019,996.138251428574,2.3951,236.715199999999,3.42E-261,362.1168,1599.96725142857,227.093054491117,3.23895535400881,,227093.054491117,3238.95535400881
2/3/2019 13:00,0.5111,997.40754725275,1.939,236.715199999999,2.14E-262,362.1168,1598.68964725275,142.656329379901,2.35627936298263,,142656.329379901,2356.27936298263
